"Question,Answer",
"В средневековой Европе крещение должно было как можно дольше сохранять свою силу, оттого ИХ называли ""Божьими жемчужинами"" и считали признаком святости. Дочь одного из французских королей умерла от НИХ. Назовите ИХ коротким словом.",Вши
"По мнению англоязычных экономических экспертов Евросоюза, наибольший вред курсу евро наносят четыре страны, пострадавшие от экономического кризиса — Ирландия, Португалия, Испания и Греция. Этим странам даже дали короткое условное название, которое их сильно обидело. Напишите это название.","""Pigs""."
"6 июня 1999 года в городе Санкт-Петербурге родился мальчик. С большим трудом родители ребенка, африканцы по происхождению, смогли официально оформить его имя в ЗАГСе. Как же они назвали мальчика?",Пушкин.
" Он подарил ей кольцо с выгравированными буквами: если колечко вращать, то буквы сливаются в непрерывное ЛЮБЛЮ, ЛЮБЛЮ, ЛЮБЛЮ: Эти же буквы выбиты на камне в чистом поле под Звенигородом, где, как она и завещала, был развеян её прах. Кстати, оба они ушли из жизни добровольно. Назовите её имя, отчество и фамилию.",Лиля Юрьевна Брик.
"На войне Иннокентий Смоктуновский попал в плен, через месяц бежал, после чего воевал в партизанском отряде и в итоге дошел до Берлина. В 1946-1951 годах он выступал на сцене Норильского Заполярного театра драмы. А чем был обусловлен выбор такого места работы?",Оттуда бы уже никуда не сослали.
Почитавшийся в Скандинавии бог Улль — покровитель спортсменов и здорового образа жизни. Улль лучше всех в Асгарде стрелял из лука. А что Улль делал быстрее всех?,Ходил на лыжах.
"Думаю, что минуты вам будет более чем достаточно, чтобы ответить, как в России XIX — начала XX века назывался способ срочной отправки телеграмм.",Блиц.
"Всем известен Самуил Маршак, детский писатель. Однако мало кто знает, что на его ранние стихи было написано несколько песен, ставших официальными маршами боевых частей. А в какой стране?",в Израиле.
" Популярное среди американцев имя Ник является обладателем рекорда — 228 вариантов написания, ведь родители стараются, чтобы имя было исключительным во всех смыслах. Какую букву мы пропустили в предыдущем предложении?",Ю
"В Коране мало что сказано о торговых операциях. Тем не менее, там упомянуто нечто, за что запрещается брать деньги. Итак, чем же запрещает торговать священная книга мусульман?",Водой.
